epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
4,0,30000,2256,7772,3863,16109
9,0,30000,2218,7856,3917,16009
14,0,30000,2295,7783,3845,16077
19,0,30000,2547,7589,3632,16232
24,0,30000,1783,8464,4551,15202
29,0,30000,2520,8470,4021,14989
34,0,30000,3244,9177,4526,13053
39,0,30000,4143,9496,4854,11507
44,4165,25835,7768,8363,3999,9870
49,17103,12897,13729,6059,3007,7205
54,22796,7204,19103,4295,2166,4436
59,25311,4689,22354,3534,1484,2628
64,26542,3458,24165,3127,913,1795
69,27231,2769,24975,3066,620,1339
74,27772,2228,25556,3078,425,941
79,28127,1873,25855,2992,341,812
84,28181,1819,25936,2997,289,778
89,28406,1594,26273,3046,193,488
94,28539,1461,26304,3020,180,496
99,28489,1511,26464,3028,140,368
