epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
4,22735,7265,15233,6205,2356,6206
9,22728,7272,16502,6087,2045,5366
14,23141,6859,17007,6158,1930,4905
19,23748,6252,17589,6190,1778,4443
24,23754,6246,17864,6046,1695,4395
29,24209,5791,18250,5953,1625,4172
34,24215,5785,18234,6049,1528,4189
39,24501,5499,18450,6002,1434,4114
44,24660,5340,18664,5994,1403,3939
49,24775,5225,18845,6033,1414,3708
54,24932,5068,19006,5992,1343,3659
59,25111,4889,18864,6118,1310,3708
64,24996,5004,19025,6100,1268,3607
69,24976,5024,19200,6113,1236,3451
74,25135,4865,19112,6115,1244,3529
79,25420,4580,19326,6147,1175,3352
84,25275,4725,19379,6127,1155,3339
89,25200,4800,19360,6117,1166,3357
94,25127,4873,19350,6122,1186,3342
99,25732,4268,19584,6111,1071,3234
104,25741,4259,19517,6115,1082,3286
109,25754,4246,19834,6138,980,3048
114,25878,4122,19640,6128,1084,3148
119,25968,4032,19759,6198,1022,3021
124,25785,4215,19736,6160,986,3118
129,25994,4006,19806,6241,986,2967
134,25968,4032,19920,6118,944,3018
139,26030,3970,19831,6224,921,3024
144,26011,3989,19851,6277,923,2949
149,26442,3558,19881,6174,923,3022
