,epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,4,0,30000,719,10462,1269,17550
1,9,0,30000,1469,11089,1855,15587
2,14,0,30000,2358,10814,3160,13668
3,19,0,30000,3246,10390,4220,12144
4,24,1219,28781,6359,9055,3574,11012
5,29,9536,20464,10077,7776,2745,9402
6,34,16501,13499,14374,6048,2397,7181
7,39,20689,9311,17675,5043,1881,5401
8,44,22674,7326,19800,4633,1417,4150
9,49,24162,5838,21473,4188,1021,3318
10,54,24861,5139,22474,4136,771,2619
11,59,25055,4945,23068,4008,602,2322
12,64,25496,4504,23781,3933,456,1830
13,69,25905,4095,24157,4037,376,1430
14,74,25908,4092,24248,4057,327,1368
15,79,25888,4112,24474,4109,295,1122
16,84,26213,3787,25002,3958,193,847
17,89,26059,3941,24848,4228,197,727
18,94,25996,4004,25200,4189,142,469
19,99,25847,4153,25124,4203,159,514
