S.No.,fg_class,bg_class,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [2, 3, 4]","bg = [0, 1, 5, 6, 7, 8, 9]",30000,66.82333333333334,31.933333333333334,0.16,1.0833333333333333,23540
2,fg = 2,bg = 000,7027,70.57065604098477,27.94933826668564,0.2276931834353209,1.252312508894265,5681
3,fg = 2,bg = 001,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
4,fg = 2,bg = 005,4806,70.2247191011236,28.277153558052433,0.18726591760299627,1.3108614232209739,3893
5,fg = 2,bg = 006,4787,69.85585961980364,28.514727386672238,0.1880091915604763,1.4414038019636515,3834
6,fg = 2,bg = 007,4842,70.94175960346963,27.44733581164808,0.24783147459727387,1.3630731102850062,3921
7,fg = 2,bg = 008,4880,71.25,27.35655737704918,0.28688524590163933,1.1065573770491803,3962
8,fg = 2,bg = 009,4831,71.1653901883668,27.427033740426413,0.2690954253777686,1.1384806458290209,3915
9,fg = 2,bg = 010,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
10,fg = 2,bg = 011,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
11,fg = 2,bg = 015,3094,70.55591467356173,27.86037491919845,0.16160310277957338,1.4221073044602457,2521
12,fg = 2,bg = 016,3090,69.96763754045307,28.31715210355987,0.16181229773462782,1.5533980582524272,2488
13,fg = 2,bg = 017,3133,70.89052026811363,27.35397382700287,0.2553463134375997,1.5001595914458985,2553
14,fg = 2,bg = 018,3186,71.02950408035154,27.5894538606403,0.25109855618330196,1.1299435028248588,2593
15,fg = 2,bg = 019,3113,71.12110504336653,27.529714102152266,0.22486347574686796,1.12431737873434,2541
16,fg = 2,bg = 050,4806,70.2247191011236,28.277153558052433,0.18726591760299627,1.3108614232209739,3893
17,fg = 2,bg = 051,3094,70.55591467356173,27.86037491919845,0.16160310277957338,1.4221073044602457,2521
18,fg = 2,bg = 055,4806,70.2247191011236,28.277153558052433,0.18726591760299627,1.3108614232209739,3893
19,fg = 2,bg = 056,3126,69.8976327575176,28.502879078694818,0.1599488163787588,1.4395393474088292,2516
20,fg = 2,bg = 057,3178,70.9880427942102,27.344241661422277,0.15733165512901195,1.5103838892385149,2589
21,fg = 2,bg = 058,3225,70.88372093023256,27.751937984496124,0.24806201550387597,1.1162790697674418,2626
22,fg = 2,bg = 059,3170,70.78864353312302,27.7602523659306,0.1892744479495268,1.2618296529968454,2577
23,fg = 2,bg = 060,4787,69.85585961980364,28.514727386672238,0.1880091915604763,1.4414038019636515,3834
24,fg = 2,bg = 061,3090,69.96763754045307,28.31715210355987,0.16181229773462782,1.5533980582524272,2488
25,fg = 2,bg = 065,3126,69.8976327575176,28.502879078694818,0.1599488163787588,1.4395393474088292,2516
26,fg = 2,bg = 066,4787,69.85585961980364,28.514727386672238,0.1880091915604763,1.4414038019636515,3834
27,fg = 2,bg = 067,3154,70.06975269499048,28.12301838934686,0.2219403931515536,1.585288522511097,2535
28,fg = 2,bg = 068,3204,70.19350811485643,28.245942571785267,0.2184769038701623,1.3420724094881398,2578
29,fg = 2,bg = 069,3150,70.66666666666667,27.80952380952381,0.2222222222222222,1.3015873015873016,2527
30,fg = 2,bg = 070,4842,70.94175960346963,27.44733581164808,0.24783147459727387,1.3630731102850062,3921
31,fg = 2,bg = 071,3133,70.89052026811363,27.35397382700287,0.2553463134375997,1.5001595914458985,2553
32,fg = 2,bg = 075,3178,70.9880427942102,27.344241661422277,0.15733165512901195,1.5103838892385149,2589
33,fg = 2,bg = 076,3154,70.06975269499048,28.12301838934686,0.2219403931515536,1.585288522511097,2535
34,fg = 2,bg = 077,4842,70.94175960346963,27.44733581164808,0.24783147459727387,1.3630731102850062,3921
35,fg = 2,bg = 078,3235,71.74652241112828,26.86244204018547,0.3091190108191654,1.0819165378670788,2639
36,fg = 2,bg = 079,3210,71.30841121495327,27.227414330218068,0.3426791277258567,1.1214953271028036,2603
37,fg = 2,bg = 080,4880,71.25,27.35655737704918,0.28688524590163933,1.1065573770491803,3962
38,fg = 2,bg = 081,3186,71.02950408035154,27.5894538606403,0.25109855618330196,1.1299435028248588,2593
39,fg = 2,bg = 085,3225,70.88372093023256,27.751937984496124,0.24806201550387597,1.1162790697674418,2626
40,fg = 2,bg = 086,3204,70.19350811485643,28.245942571785267,0.2184769038701623,1.3420724094881398,2578
41,fg = 2,bg = 087,3235,71.74652241112828,26.86244204018547,0.3091190108191654,1.0819165378670788,2639
42,fg = 2,bg = 088,4880,71.25,27.35655737704918,0.28688524590163933,1.1065573770491803,3962
43,fg = 2,bg = 089,3213,72.14441332088391,26.42390289449113,0.3423591658885777,1.0893246187363834,2621
44,fg = 2,bg = 090,4831,71.1653901883668,27.427033740426413,0.2690954253777686,1.1384806458290209,3915
45,fg = 2,bg = 091,3113,71.12110504336653,27.529714102152266,0.22486347574686796,1.12431737873434,2541
46,fg = 2,bg = 095,3170,70.78864353312302,27.7602523659306,0.1892744479495268,1.2618296529968454,2577
47,fg = 2,bg = 096,3150,70.66666666666667,27.80952380952381,0.2222222222222222,1.3015873015873016,2527
48,fg = 2,bg = 097,3210,71.30841121495327,27.227414330218068,0.3426791277258567,1.1214953271028036,2603
49,fg = 2,bg = 098,3213,72.14441332088391,26.42390289449113,0.3423591658885777,1.0893246187363834,2621
50,fg = 2,bg = 099,4831,71.1653901883668,27.427033740426413,0.2690954253777686,1.1384806458290209,3915
51,fg = 2,bg = 100,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
52,fg = 2,bg = 101,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
53,fg = 2,bg = 105,3094,70.55591467356173,27.86037491919845,0.16160310277957338,1.4221073044602457,2521
54,fg = 2,bg = 106,3090,69.96763754045307,28.31715210355987,0.16181229773462782,1.5533980582524272,2488
55,fg = 2,bg = 107,3133,70.89052026811363,27.35397382700287,0.2553463134375997,1.5001595914458985,2553
56,fg = 2,bg = 108,3186,71.02950408035154,27.5894538606403,0.25109855618330196,1.1299435028248588,2593
57,fg = 2,bg = 109,3113,71.12110504336653,27.529714102152266,0.22486347574686796,1.12431737873434,2541
58,fg = 2,bg = 110,4769,70.72761585237996,27.78360243237576,0.20968756552736423,1.2790941497169217,3879
59,fg = 2,bg = 111,7025,70.49110320284697,28.11387900355872,0.18505338078291814,1.209964412811388,5717
60,fg = 2,bg = 115,4777,70.1067615658363,28.40694996859954,0.16746912288046892,1.3188193426836927,3893
61,fg = 2,bg = 116,4779,69.74262397991211,28.750784682988073,0.1464741577735928,1.3601171793262188,3857
62,fg = 2,bg = 117,4856,70.7166392092257,27.677100494233937,0.20593080724876442,1.400329489291598,3960
63,fg = 2,bg = 118,4881,70.66174964146691,28.006556033599672,0.2048760499897562,1.126818274943659,3973
64,fg = 2,bg = 119,4804,70.79517069109076,27.914238134887594,0.16652789342214822,1.1240632805995003,3926
65,fg = 2,bg = 150,3094,70.55591467356173,27.86037491919845,0.16160310277957338,1.4221073044602457,2521
66,fg = 2,bg = 151,4777,70.1067615658363,28.40694996859954,0.16746912288046892,1.3188193426836927,3893
67,fg = 2,bg = 155,4777,70.1067615658363,28.40694996859954,0.16746912288046892,1.3188193426836927,3893
68,fg = 2,bg = 156,3103,69.57782790847567,28.843055107960037,0.16113438607798905,1.4179825974863036,2520
69,fg = 2,bg = 157,3195,70.7981220657277,27.480438184663537,0.1564945226917058,1.5649452269170578,2619
70,fg = 2,bg = 158,3186,70.02510985561833,28.625235404896422,0.18832391713747645,1.1613308223477714,2592
71,fg = 2,bg = 159,3133,70.41174593041814,28.21576763485477,0.09575486753909991,1.2767315671879986,2567
72,fg = 2,bg = 160,3090,69.96763754045307,28.31715210355987,0.16181229773462782,1.5533980582524272,2488
73,fg = 2,bg = 161,4779,69.74262397991211,28.750784682988073,0.1464741577735928,1.3601171793262188,3857
74,fg = 2,bg = 165,3103,69.57782790847567,28.843055107960037,0.16113438607798905,1.4179825974863036,2520
75,fg = 2,bg = 166,4779,69.74262397991211,28.750784682988073,0.1464741577735928,1.3601171793262188,3857
76,fg = 2,bg = 167,3169,69.8327548122436,28.431681918586303,0.1577784790154623,1.577784790154623,2562
77,fg = 2,bg = 168,3202,69.3004372267333,29.169269206745785,0.1561524047470331,1.3741411617738912,2581
78,fg = 2,bg = 169,3127,70.13111608570514,28.461784457946916,0.12791813239526703,1.2791813239526704,2539
79,fg = 2,bg = 170,3133,70.89052026811363,27.35397382700287,0.2553463134375997,1.5001595914458985,2553
80,fg = 2,bg = 171,4856,70.7166392092257,27.677100494233937,0.20593080724876442,1.400329489291598,3960
81,fg = 2,bg = 175,3195,70.7981220657277,27.480438184663537,0.1564945226917058,1.5649452269170578,2619
82,fg = 2,bg = 176,3169,69.8327548122436,28.431681918586303,0.1577784790154623,1.577784790154623,2562
83,fg = 2,bg = 177,4856,70.7166392092257,27.677100494233937,0.20593080724876442,1.400329489291598,3960
84,fg = 2,bg = 178,3244,70.83847102342787,27.743526510480887,0.2157829839704069,1.2022194821208385,2655
85,fg = 2,bg = 179,3189,70.83725305738476,27.657572906867358,0.21950454687989965,1.2856694888679836,2616
