S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [3, 4, 5]","bg = [0, 1, 2, 6, 7, 8, 9]",30000,61.78333333333333,35.64333333333333,1.0133333333333334,1.56,17150
2,fg = 3,"bg = 0,1,2",3174,61.02709514807813,38.248267170762446,0.3465658475110271,0.3780718336483932,1855
3,fg = 3,"bg = 0,1,6",3245,61.78736517719569,37.719568567026194,0.12326656394453005,0.3697996918335901,1912
4,fg = 3,"bg = 0,1,7",3241,62.41900647948164,36.99475470533786,0.18512804689910523,0.40111076828139464,1925
5,fg = 3,"bg = 0,1,8",3302,62.65899454875833,36.70502725620836,0.2725620835857056,0.3634161114476075,1983
6,fg = 3,"bg = 0,1,9",3254,64.44376152427782,35.03380454824831,0.24585125998770743,0.2765826674861709,1957
7,fg = 3,"bg = 0,2,6",3187,59.46030749921556,39.88076561029181,0.21964229683087544,0.4392845936617509,1783
8,fg = 3,"bg = 0,2,7",3164,59.38685208596713,39.854614412136534,0.2528445006321112,0.5056890012642224,1792
9,fg = 3,"bg = 0,2,8",3198,59.47467166979362,39.68105065666041,0.3439649781113196,0.5003126954346466,1840
10,fg = 3,"bg = 0,2,9",3196,61.0450563204005,38.39173967459324,0.2503128911138924,0.31289111389236546,1858
11,fg = 3,"bg = 0,6,7",3175,60.78740157480315,38.58267716535433,0.09448818897637795,0.5354330708661418,1818
12,fg = 3,"bg = 0,6,8",3269,61.089018048332825,38.237993270113186,0.18354236769654328,0.48944631385744874,1890
13,fg = 3,"bg = 0,6,9",3210,62.087227414330215,37.44548286604361,0.09345794392523364,0.37383177570093457,1869
14,fg = 3,"bg = 0,7,8",3239,60.63599876505094,38.62303179993825,0.18524235875270145,0.5557270762581044,1880
15,fg = 3,"bg = 0,7,9",3213,62.55835667600373,36.94366635543106,0.12449424214130096,0.3734827264239029,1885
16,fg = 3,"bg = 0,8,9",3281,63.30387077110637,36.05608046327339,0.21334958854007924,0.4266991770801585,1941
17,fg = 3,"bg = 1,2,6",3184,59.641959798994975,39.76130653266332,0.25125628140703515,0.3454773869346734,1776
18,fg = 3,"bg = 1,2,7",3165,59.968404423380726,39.241706161137444,0.3791469194312796,0.4107424960505529,1790
19,fg = 3,"bg = 1,2,8",3240,60.03086419753087,39.19753086419753,0.43209876543209874,0.3395061728395062,1869
20,fg = 3,"bg = 1,2,9",3191,61.61078031964901,37.73111877154497,0.43873393920401127,0.21936696960200563,1860
21,fg = 3,"bg = 1,6,7",3224,61.135235732009924,38.24441687344913,0.18610421836228289,0.43424317617866004,1842
22,fg = 3,"bg = 1,6,8",3331,61.09276493545482,38.33683578504954,0.24016811768237767,0.3302311618132693,1928
23,fg = 3,"bg = 1,6,9",3200,61.9375,37.46875,0.25,0.34375,1871
24,fg = 3,"bg = 1,7,8",3279,61.23818237267459,38.06038426349497,0.3049710277523635,0.3964623360780726,1907
25,fg = 3,"bg = 1,7,9",3238,63.218035824583076,36.07164916615194,0.40148239654107476,0.30883261272390367,1904
26,fg = 3,"bg = 1,8,9",3262,63.36603310852238,35.928877988963826,0.39852851011649293,0.30656039239730226,1951
27,fg = 3,"bg = 2,6,7",3145,58.75993640699523,40.445151033386324,0.22257551669316375,0.5723370429252782,1679
28,fg = 3,"bg = 2,6,8",3232,58.8490099009901,40.37747524752475,0.3094059405940594,0.46410891089108913,1765
29,fg = 3,"bg = 2,6,9",3168,59.69065656565657,39.678030303030305,0.22095959595959597,0.41035353535353536,1753
30,fg = 3,"bg = 2,7,8",3194,58.4533500313087,40.60738885410144,0.34439574201628054,0.5948653725735754,1781
31,fg = 3,"bg = 2,7,9",3200,60.5625,38.65625,0.34375,0.4375,1819
32,fg = 3,"bg = 2,8,9",3218,60.31696706028589,38.87507768800497,0.3729024238657551,0.435052827843381,1864
33,fg = 3,"bg = 6,7,8",3237,59.9320358356503,39.264751312944085,0.2162496138399753,0.5869632375656472,1796
34,fg = 3,"bg = 6,7,9",3180,61.19496855345912,38.0503144654088,0.22012578616352202,0.5345911949685535,1786
35,fg = 3,"bg = 6,8,9",3238,60.96355775169858,38.29524397776405,0.21618282890673254,0.5250154416306362,1841
36,fg = 3,"bg = 7,8,9",3232,61.9740099009901,37.19059405940594,0.3094059405940594,0.525990099009901,1883
37,fg = 4,"bg = 0,1,2",3164,49.146649810366625,46.33375474083439,1.8647281921618204,2.6548672566371683,1357
38,fg = 4,"bg = 0,1,6",3208,49.00249376558604,46.35286783042394,1.745635910224439,2.899002493765586,1373
39,fg = 4,"bg = 0,1,7",3176,51.60579345088161,44.0176322418136,1.5428211586901763,2.8337531486146097,1434
40,fg = 4,"bg = 0,1,8",3181,53.19082049669915,42.628104369695066,1.5718327569946557,2.6092423766111286,1482
41,fg = 4,"bg = 0,1,9",3168,52.619949494949495,42.99242424242424,1.9886363636363635,2.398989898989899,1488
42,fg = 4,"bg = 0,2,6",3244,45.684340320591865,49.290998766954374,1.5721331689272504,3.4525277435265105,1248
43,fg = 4,"bg = 0,2,7",3263,46.828072326080296,48.145878026356115,1.4403922770456634,3.585657370517928,1293
44,fg = 4,"bg = 0,2,8",3216,49.191542288557216,46.01990049751244,1.6169154228855722,3.171641791044776,1339
45,fg = 4,"bg = 0,2,9",3230,47.80185758513932,47.39938080495356,1.7956656346749227,3.003095975232198,1335
46,fg = 4,"bg = 0,6,7",3278,46.67480170835876,48.13910921293471,1.4948139109212935,3.6912751677852347,1313
47,fg = 4,"bg = 0,6,8",3251,49.27714549369425,46.078129806213475,1.2919101814826208,3.3528145186096587,1373
48,fg = 4,"bg = 0,6,9",3246,48.79852125693161,46.272335181762166,1.756007393715342,3.173136167590881,1361
49,fg = 4,"bg = 0,7,8",3247,50.93932861102556,44.441022482291345,1.2935016938712658,3.326147212811826,1411
50,fg = 4,"bg = 0,7,9",3286,50.213024954351795,45.03956177723676,1.6129032258064515,3.1345100426049908,1446
51,fg = 4,"bg = 0,8,9",3208,52.52493765586035,43.14214463840399,1.5586034912718205,2.7743142144638404,1472
52,fg = 4,"bg = 1,2,6",3168,45.486111111111114,49.65277777777778,1.893939393939394,2.967171717171717,1213
53,fg = 4,"bg = 1,2,7",3166,46.39924194567277,48.95767530006317,1.7056222362602653,2.9374605180037903,1256
54,fg = 4,"bg = 1,2,8",3134,48.62795149968092,46.96873005743459,1.723037651563497,2.6802807913209956,1318
55,fg = 4,"bg = 1,2,9",3136,47.640306122448976,47.704081632653065,2.0408163265306123,2.614795918367347,1327
56,fg = 4,"bg = 1,6,7",3212,48.16313823163138,47.16687422166874,1.7434620174346203,2.9265255292652554,1293
57,fg = 4,"bg = 1,6,8",3219,49.79807393600497,45.88381484933209,1.460080770425598,2.858030444237341,1372
58,fg = 4,"bg = 1,6,9",3164,49.62073324905183,45.796460176991154,1.8963337547408343,2.686472819216182,1350
59,fg = 4,"bg = 1,7,8",3176,51.60579345088161,44.30100755667506,1.4168765743073048,2.6763224181360203,1393
60,fg = 4,"bg = 1,7,9",3185,50.989010989010985,44.740973312401884,1.7268445839874411,2.543171114599686,1424
61,fg = 4,"bg = 1,8,9",3113,53.29264375200771,42.53132026983617,1.6704143912624478,2.5056215868936715,1455
62,fg = 4,"bg = 2,6,7",3251,43.37127037834512,51.338049830821284,1.6917871424177175,3.598892648415872,1152
63,fg = 4,"bg = 2,6,8",3199,46.04563926226946,49.077836824007505,1.5942482025633011,3.2822757111597376,1214
64,fg = 4,"bg = 2,6,9",3188,44.66750313676286,50.43914680050188,1.7565872020075282,3.136762860727729,1194
65,fg = 4,"bg = 2,7,8",3219,46.50512581547064,48.61758310034172,1.4911463187325256,3.3861447654551102,1246
66,fg = 4,"bg = 2,7,9",3241,45.418080839247146,49.76858994137612,1.6352977476087627,3.178031471767973,1264
67,fg = 4,"bg = 2,8,9",3150,47.84126984126984,47.36507936507937,1.746031746031746,3.0476190476190474,1297
68,fg = 4,"bg = 6,7,8",3235,47.913446676970636,47.41885625965997,1.3601236476043277,3.3075734157650696,1280
69,fg = 4,"bg = 6,7,9",3248,47.41379310344828,47.66009852216749,1.7549261083743843,3.1711822660098523,1304
70,fg = 4,"bg = 6,8,9",3160,50.063291139240505,45.50632911392405,1.4556962025316456,2.9746835443037973,1346
71,fg = 4,"bg = 7,8,9",3163,50.83781220360417,44.89408789124249,1.4226999683844452,2.8453999367688905,1391
72,fg = 5,"bg = 0,1,2",3243,75.23897625655258,22.23250077089115,1.1409189022510022,1.387604070305273,2342
73,fg = 5,"bg = 0,1,6",3170,76.68769716088327,20.694006309148264,1.1987381703470033,1.4195583596214512,2322
74,fg = 5,"bg = 0,1,7",3217,75.97140192726143,21.293130245570406,1.3055641902393533,1.4299036369288156,2358
75,fg = 5,"bg = 0,1,8",3103,78.21463100225589,19.207218820496294,1.2890750886239124,1.2890750886239124,2329
