S.No.,fg_class,bg_class,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [2, 3, 4]","bg = [0, 1, 5, 6, 7, 8, 9]",30000,66.82333333333334,31.933333333333334,0.16,1.0833333333333333,23540
2,fg = 2,bg = 0,7027,70.57065604098477,27.94933826668564,0.2276931834353209,1.252312508894265,5681
3,fg = 2,bg = 1,7025,70.49110320284697,28.11387900355872,0.18505338078291814,1.209964412811388,5717
4,fg = 2,bg = 5,7016,69.95438996579247,28.54903078677309,0.17103762827822122,1.3255416191562144,5682
5,fg = 2,bg = 6,7013,69.81320404962213,28.661058035077712,0.15685156138599743,1.3688863539141594,5632
6,fg = 2,bg = 7,7105,70.80928923293456,27.628430682617875,0.19704433497536947,1.3652357494722027,5759
7,fg = 2,bg = 8,7133,70.9378942941259,27.674190382728163,0.22430954717510165,1.1636057759708398,5793
8,fg = 2,bg = 9,7049,70.9746063271386,27.663498368562916,0.19860973187686196,1.16328557242162,5727
9,fg = 3,bg = 0,7099,55.993801943935765,43.03423017326384,0.1408649105507818,0.8311029722496126,5095
10,fg = 3,bg = 1,7147,56.1354414439625,42.983069819504685,0.11193507765496012,0.7695536588778509,5159
11,fg = 3,bg = 5,7169,54.749616403961504,44.2460594225136,0.13948946854512484,0.864834704979774,5078
12,fg = 3,bg = 6,7183,54.879576778504806,44.07629124321314,0.15313935681470137,0.8909926214673535,5102
13,fg = 3,bg = 7,7085,55.66690190543402,43.47212420606916,0.09880028228652082,0.7621736062103035,5074
14,fg = 3,bg = 8,7163,56.55451626413514,42.56596398157197,0.06980315510261063,0.8097165991902834,5175
15,fg = 3,bg = 9,7091,55.944154562121,43.09688337329008,0.1410238330277817,0.8179382315611339,5133
16,fg = 4,bg = 0,7068,74.56140350877193,24.207696661007358,0.1697792869269949,1.061120543293718,5870
17,fg = 4,bg = 1,7099,74.53162417241865,24.186505141569235,0.09860543738554726,1.1832652486265671,5876
18,fg = 4,bg = 5,7146,73.5796249650154,24.88105233697173,0.20990764063811923,1.3294150573747552,5912
19,fg = 4,bg = 6,7107,73.58941888279162,25.003517658646405,0.18291824961305755,1.2241452089489235,5882
20,fg = 4,bg = 7,7076,73.86941775014132,24.703222159412096,0.1978518937252685,1.2295081967213115,5848
21,fg = 4,bg = 8,7096,74.5772266065389,24.041713641488162,0.18320180383314544,1.197857948139797,5901
22,fg = 4,bg = 9,7129,74.6107448449993,24.056669939682983,0.18235376630663488,1.1502314490110814,5956
