S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [2, 3, 4]","bg = [0, 1, 5, 6, 7, 8, 9]",30000,60.08,39.263333333333335,0.10333333333333333,0.5533333333333333,20823
2,fg = 2,"bg = 0,1,5",3209,63.75818011841695,35.36927391710813,0.12464942349641633,0.747896540978498,2345
3,fg = 2,"bg = 0,1,6",3165,63.25434439178515,35.8609794628752,0.1263823064770932,0.7582938388625592,2317
4,fg = 2,"bg = 0,1,7",3170,64.60567823343848,34.57413249211356,0.0946372239747634,0.7255520504731862,2331
5,fg = 2,"bg = 0,1,8",3197,65.02971535814827,34.1570222083203,0.09383797309978105,0.7194244604316546,2374
6,fg = 2,"bg = 0,1,9",3170,66.37223974763407,32.71293375394322,0.0946372239747634,0.8201892744479495,2378
7,fg = 2,"bg = 0,5,6",3128,62.052429667519185,37.11636828644501,0.159846547314578,0.6713554987212276,2208
8,fg = 2,"bg = 0,5,7",3103,63.13245246535611,36.12632935868514,0.09668063164679343,0.6445375443119562,2205
9,fg = 2,"bg = 0,5,8",3188,63.42534504391468,35.79046424090339,0.12547051442910917,0.6587202007528231,2310
10,fg = 2,"bg = 0,5,9",3159,64.45077556188667,34.66286799620133,0.12662234884457108,0.7597340930674265,2300
11,fg = 2,"bg = 0,6,7",3108,61.96911196911197,37.194337194337194,0.06435006435006435,0.7722007722007722,2208
12,fg = 2,"bg = 0,6,8",3080,61.91558441558441,37.175324675324674,0.12987012987012986,0.7792207792207793,2211
13,fg = 2,"bg = 0,6,9",3116,63.99229781771502,34.980744544287546,0.16046213093709885,0.8664955070603337,2277
14,fg = 2,"bg = 0,7,8",3176,64.04282115869017,35.295969773299745,0.031486146095717885,0.6297229219143576,2316
15,fg = 2,"bg = 0,7,9",3155,64.5324881141046,34.61172741679873,0.03169572107765452,0.8240887480190174,2318
16,fg = 2,"bg = 0,8,9",3185,65.49450549450549,33.56357927786499,0.12558869701726844,0.8163265306122449,2383
17,fg = 2,"bg = 1,5,6",3193,62.44910742248669,36.64265580958347,0.09395552771688068,0.8142812402129659,2307
18,fg = 2,"bg = 1,5,7",3179,63.03869141239383,36.049072035231205,0.12582573136206354,0.7864108210128972,2284
19,fg = 2,"bg = 1,5,8",3204,62.95255930087391,36.173533083645445,0.09363295880149813,0.7802746566791511,2344
20,fg = 2,"bg = 1,5,9",3190,64.35736677115987,34.76489028213166,0.06269592476489028,0.8150470219435737,2357
21,fg = 2,"bg = 1,6,7",3129,62.7356983061681,36.33748801534036,0.06391818472355384,0.862895493767977,2266
22,fg = 2,"bg = 1,6,8",3112,62.210796915167094,36.95372750642674,0.06426735218508997,0.7712082262210797,2270
23,fg = 2,"bg = 1,6,9",3135,64.14673046251994,34.83253588516747,0.09569377990430622,0.9250398724082934,2322
24,fg = 2,"bg = 1,7,8",3161,63.84055678582727,35.30528313824739,0.09490667510281557,0.7592534008225246,2311
25,fg = 2,"bg = 1,7,9",3138,65.10516252390057,34.03441682600383,0.03186743148502231,0.82855321861058,2315
26,fg = 2,"bg = 1,8,9",3160,65.50632911392405,33.607594936708864,0.06329113924050633,0.8227848101265823,2373
27,fg = 2,"bg = 5,6,7",3132,61.430395913154534,37.70753512132823,0.09578544061302682,0.7662835249042146,2178
28,fg = 2,"bg = 5,6,8",3117,60.95604748155277,38.177735001604105,0.12832852101379533,0.7378889958293231,2207
29,fg = 2,"bg = 5,6,9",3153,62.987630827783065,36.02917856010149,0.1585791309863622,0.8246114811290834,2269
30,fg = 2,"bg = 5,7,8",3173,62.05483769303498,37.125748502994014,0.09454774661203907,0.7248660573589663,2260
31,fg = 2,"bg = 5,7,9",3131,62.88725646758224,36.25039923347173,0.06387735547748323,0.7984669434685404,2230
32,fg = 2,"bg = 5,8,9",3176,63.50755667506297,35.57934508816121,0.12594458438287154,0.7871536523929471,2324
33,fg = 2,"bg = 6,7,8",3113,60.7773851590106,38.4195309990363,0.032123353678123995,0.7709604882749759,2206
34,fg = 2,"bg = 6,7,9",3142,62.63526416295353,36.37810311903247,0.06365372374283895,0.9229789942711648,2258
35,fg = 2,"bg = 6,8,9",3102,62.70148291424887,36.202450032237266,0.16118633139909735,0.9348807221147647,2262
36,fg = 2,"bg = 7,8,9",3193,63.79580331976198,35.35859693078609,0.03131850923896023,0.8142812402129659,2341
37,fg = 3,"bg = 0,1,5",3156,49.27122940430925,49.96831432192649,0.09505703422053231,0.6653992395437263,2010
38,fg = 3,"bg = 0,1,6",3095,49.531502423263326,49.56381260096931,0.12924071082390953,0.7754442649434572,1985
39,fg = 3,"bg = 0,1,7",3125,50.848,48.32,0.128,0.704,2026
40,fg = 3,"bg = 0,1,8",3194,52.22291797119599,46.99436443331246,0.12523481527864747,0.6574827802128992,2144
41,fg = 3,"bg = 0,1,9",3192,52.537593984962406,46.835839598997495,0.15664160401002505,0.4699248120300752,2124
42,fg = 3,"bg = 0,5,6",3157,46.65821982895154,52.423186569528035,0.09502692429521697,0.8235666772252138,1905
43,fg = 3,"bg = 0,5,7",3175,48.28346456692913,50.89763779527559,0.12598425196850394,0.6929133858267716,1940
44,fg = 3,"bg = 0,5,8",3225,48.713178294573645,50.542635658914726,0.12403100775193798,0.6201550387596899,2016
45,fg = 3,"bg = 0,5,9",3230,49.752321981424146,49.473684210526315,0.15479876160990713,0.6191950464396285,2038
46,fg = 3,"bg = 0,6,7",3108,47.61904761904762,51.48005148005148,0.09652509652509653,0.8043758043758044,1915
47,fg = 3,"bg = 0,6,8",3150,48.317460317460316,50.79365079365079,0.12698412698412698,0.7619047619047619,1979
48,fg = 3,"bg = 0,6,9",3142,49.108847867600254,50.0,0.15913430935709738,0.732017823042648,1996
49,fg = 3,"bg = 0,7,8",3166,50.06317119393557,49.21036007580543,0.09475679090334807,0.6317119393556538,2033
50,fg = 3,"bg = 0,7,9",3205,50.078003120124805,49.141965678627145,0.15600624024961,0.62402496099844,2064
51,fg = 3,"bg = 0,8,9",3226,51.98388096714197,47.33415995040298,0.15499070055796652,0.5269683818970862,2137
52,fg = 3,"bg = 1,5,6",3130,47.31629392971246,51.884984025559106,0.03194888178913738,0.7667731629392971,1939
53,fg = 3,"bg = 1,5,7",3132,47.956577266922096,51.24521072796935,0.09578544061302682,0.70242656449553,1939
54,fg = 3,"bg = 1,5,8",3190,49.874608150470216,49.373040752351095,0.06269592476489028,0.6896551724137931,2057
55,fg = 3,"bg = 1,5,9",3181,49.92140836215027,49.481295190191766,0.09430996541967934,0.5029864822382899,2029
