,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, -0.1]","[[-0.336, -0.368]]","[[-0.179, -0.577], [1.183, -1.659], [-1.214, 1.711]]","[-2.526, 1.828, 2.454]",0.004,100.0,99.8,0.0,0.2,0.0
1,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.0]","[[-0.328, -0.371]]","[[-0.17, -0.575], [1.192, -1.66], [-1.195, 1.7]]","[-2.504, 1.79, 2.508]",0.004,100.0,99.8,0.0,0.2,0.0
2,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.1]","[[-0.318, -0.377]]","[[-0.163, -0.573], [1.197, -1.661], [-1.18, 1.689]]","[-2.485, 1.75, 2.55]",0.004,100.0,99.8,0.0,0.2,0.0
3,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, -0.1]","[[-0.467, -0.238]]","[[-0.202, -0.432], [1.197, -1.638], [-1.231, 1.889]]","[-2.082, 0.923, 3.398]",0.003,100.0,100.0,0.0,0.0,0.0
4,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.0]","[[-0.445, -0.248]]","[[-0.182, -0.428], [1.21, -1.623], [-1.199, 1.874]]","[-2.121, 0.957, 3.391]",0.004,100.0,100.0,0.0,0.0,0.0
5,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.1]","[[-0.413, -0.263]]","[[-0.172, -0.426], [1.213, -1.608], [-1.178, 1.861]]","[-2.157, 0.986, 3.386]",0.004,100.0,100.0,0.0,0.0,0.0
6,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, -0.1]","[[-0.537, -0.138]]","[[-0.102, -0.453], [1.351, -1.716], [-1.243, 2.01]]","[-1.928, 1.047, 2.909]",0.003,100.0,99.8,0.0,0.2,0.0
7,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.0]","[[-0.524, -0.148]]","[[-0.107, -0.411], [1.342, -1.672], [-1.225, 2.027]]","[-1.906, 1.021, 3.123]",0.003,100.0,99.8,0.0,0.2,0.0
8,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.1]","[[-0.511, -0.16]]","[[-0.108, -0.382], [1.337, -1.642], [-1.216, 2.043]]","[-1.88, 1.001, 3.201]",0.003,100.0,99.8,0.0,0.2,0.0
9,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, -0.1]","[[-0.33, -0.406]]","[[0.008, -0.536], [1.387, -1.641], [-1.108, 1.835]]","[-2.282, 1.993, 2.013]",0.004,100.0,99.8,0.0,0.2,0.0
10,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.0]","[[-0.323, -0.413]]","[[0.009, -0.522], [1.388, -1.632], [-1.101, 1.841]]","[-2.268, 1.921, 2.055]",0.004,100.0,99.8,0.0,0.2,0.0
11,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.1]","[[-0.311, -0.421]]","[[0.009, -0.503], [1.386, -1.618], [-1.093, 1.851]]","[-2.247, 1.827, 2.123]",0.004,100.0,99.8,0.0,0.2,0.0
12,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, -0.1]","[[-0.325, -0.325]]","[[-0.025, -0.326], [1.368, -1.495], [-1.092, 2.006]]","[-2.168, 1.305, 2.656]",0.004,100.0,99.8,0.0,0.2,0.0
13,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.0]","[[-0.326, -0.323]]","[[-0.02, -0.32], [1.371, -1.49], [-1.09, 2.012]]","[-2.131, 1.305, 2.649]",0.004,100.0,99.8,0.0,0.2,0.0
14,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.1]","[[-0.326, -0.323]]","[[-0.008, -0.321], [1.382, -1.493], [-1.081, 2.011]]","[-2.088, 1.307, 2.623]",0.004,100.0,99.8,0.0,0.2,0.0
