,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, -0.1]","[[-0.337, -0.365]]","[[-0.19, -0.553], [1.171, -1.643], [-1.197, 1.707]]","[-2.553, 1.66, 2.657]",0.004,100.0,99.8,0.0,0.2,0.0
1,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.0]","[[-0.321, -0.369]]","[[-0.195, -0.563], [1.168, -1.657], [-1.211, 1.707]]","[-2.507, 1.686, 2.646]",0.004,100.0,99.8,0.0,0.2,0.0
2,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.1]","[[-0.312, -0.372]]","[[-0.186, -0.571], [1.178, -1.67], [-1.205, 1.7]]","[-2.458, 1.67, 2.644]",0.004,100.0,99.8,0.0,0.2,0.0
3,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, -0.1]","[[-0.456, -0.245]]","[[-0.242, -0.412], [1.155, -1.616], [-1.258, 1.897]]","[-2.107, 0.899, 3.501]",0.003,100.0,100.0,0.0,0.0,0.0
4,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.0]","[[-0.432, -0.258]]","[[-0.206, -0.4], [1.183, -1.589], [-1.211, 1.889]]","[-2.141, 0.954, 3.445]",0.004,100.0,100.0,0.0,0.0,0.0
5,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.1]","[[-0.412, -0.269]]","[[-0.198, -0.394], [1.186, -1.577], [-1.199, 1.89]]","[-2.156, 0.972, 3.456]",0.004,100.0,100.0,0.0,0.0,0.0
6,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, -0.1]","[[-0.548, -0.127]]","[[-0.087, -0.538], [1.381, -1.805], [-1.302, 2.006]]","[-1.99, 1.134, 2.26]",0.004,100.0,99.8,0.0,0.2,0.0
7,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.0]","[[-0.527, -0.151]]","[[-0.1, -0.409], [1.35, -1.673], [-1.236, 2.048]]","[-1.891, 0.988, 2.96]",0.003,100.0,99.8,0.0,0.2,0.0
8,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.1]","[[-0.516, -0.161]]","[[-0.11, -0.378], [1.338, -1.643], [-1.237, 2.068]]","[-1.873, 0.966, 3.029]",0.003,100.0,99.8,0.0,0.2,0.0
9,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, -0.1]","[[-0.325, -0.408]]","[[-0.006, -0.526], [1.37, -1.639], [-1.125, 1.844]]","[-2.26, 1.848, 1.974]",0.004,100.0,99.8,0.0,0.2,0.0
10,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.0]","[[-0.312, -0.418]]","[[-0.012, -0.503], [1.365, -1.622], [-1.124, 1.861]]","[-2.235, 1.761, 2.042]",0.004,100.0,99.8,0.0,0.2,0.0
11,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.1]","[[-0.303, -0.426]]","[[-0.014, -0.49], [1.362, -1.613], [-1.122, 1.868]]","[-2.219, 1.699, 2.077]",0.004,100.0,99.8,0.0,0.2,0.0
12,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, -0.1]","[[-0.316, -0.322]]","[[-0.095, -0.309], [1.316, -1.504], [-1.196, 2.087]]","[-2.159, 1.216, 2.723]",0.004,100.0,99.8,0.0,0.2,0.0
13,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.0]","[[-0.318, -0.321]]","[[-0.067, -0.302], [1.342, -1.497], [-1.172, 2.092]]","[-2.117, 1.222, 2.669]",0.004,100.0,99.8,0.0,0.2,0.0
14,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.1]","[[-0.32, -0.321]]","[[-0.015, -0.322], [1.391, -1.514], [-1.122, 2.064]]","[-2.077, 1.273, 2.564]",0.004,100.0,99.8,0.0,0.2,0.0
15,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, -0.1]","[[-0.991, 0.989]]","[[0.982, -1.895], [-0.411, 2.746], [-0.796, 1.347]]","[-3.196, 3.261, -2.387]",0.005,78.4,68.1,31.6,0.2,0.1
16,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.0]","[[-0.961, 0.959]]","[[0.915, -1.878], [-0.404, 2.551], [-0.85, 1.32]]","[-3.139, 3.191, -2.59]",0.005,77.5,68.1,31.6,0.2,0.1
