,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, -0.1]","[[-0.056, -0.22]]","[[-0.264, -0.707], [1.475, -2.01], [-1.361, 2.101]]","[-3.931, 2.447, 4.165]",0.001,95.3,100.0,0.0,0.0,0.0
1,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.0]","[[-0.052, -0.225]]","[[-0.251, -0.702], [1.489, -2.008], [-1.332, 2.087]]","[-3.921, 2.419, 4.233]",0.001,94.7,100.0,0.0,0.0,0.0
2,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.1]","[[-0.049, -0.23]]","[[-0.236, -0.694], [1.505, -2.005], [-1.3, 2.072]]","[-3.913, 2.381, 4.292]",0.001,93.2,100.0,0.0,0.0,0.0
3,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, -0.1]","[[-0.161, -0.089]]","[[-0.293, -0.508], [1.444, -1.962], [-1.391, 2.332]]","[-3.175, 1.199, 5.804]",0.001,100.0,100.0,0.0,0.0,0.0
4,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.0]","[[-0.093, -0.167]]","[[-0.276, -0.497], [1.448, -1.932], [-1.346, 2.292]]","[-3.109, 1.228, 5.458]",0.001,100.0,100.0,0.0,0.0,0.0
5,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.1]","[[-0.038, -0.244]]","[[-0.269, -0.473], [1.463, -1.911], [-1.314, 2.276]]","[-3.112, 1.284, 5.237]",0.001,87.3,100.0,0.0,0.0,0.0
6,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, -0.1]","[[-0.53, -0.13]]","[[-0.132, -0.588], [1.682, -2.148], [-1.418, 2.442]]","[-2.855, 1.184, 5.524]",0.001,100.0,100.0,0.0,0.0,0.0
7,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.0]","[[-0.516, -0.137]]","[[-0.139, -0.544], [1.671, -2.103], [-1.402, 2.462]]","[-2.836, 1.157, 5.746]",0.001,100.0,100.0,0.0,0.0,0.0
8,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.1]","[[-0.503, -0.144]]","[[-0.144, -0.514], [1.665, -2.073], [-1.398, 2.482]]","[-2.822, 1.14, 5.804]",0.001,100.0,100.0,0.0,0.0,0.0
9,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, -0.1]","[[-0.088, -0.169]]","[[-0.038, -0.69], [1.744, -2.022], [-1.31, 2.339]]","[-3.762, 2.708, 3.528]",0.001,99.9,100.0,0.0,0.0,0.0
