sno,b_c_fixed,a_fixed,a_value,b_value,c_value,loss
0,True,True,0.0,0.0,0.0,0.6931471824645996
1,False,True,0.0,7.9410295486450195,-21.124401092529297,0.3465682566165924
1,True,False,-0.11034399271011353,7.9410295486450195,-21.124401092529297,0.2670542713668611
2,False,True,-0.11034399271011353,10.221793174743652,-25.885892868041992,0.13352686166763306
2,True,False,-0.17523685097694397,10.221793174743652,-25.885892868041992,0.09966916818585661
3,False,True,-0.17523685097694397,11.828354835510254,-28.84844398498535,0.04983256012201309
3,True,False,-0.22444279491901398,11.828354835510254,-28.84844398498535,0.036292890241990484
4,False,True,-0.22444279491901398,13.103410720825195,-30.900333404541016,0.01814611256122589
4,True,False,-0.2657434940338135,13.103410720825195,-30.900333404541016,0.01291769191933175
5,False,True,-0.2657434940338135,14.176969528198242,-32.378440856933594,0.006458787247538567
5,True,False,-0.30219796299934387,14.176969528198242,-32.378440856933594,0.0044996076030656695
6,False,True,-0.30219796299934387,14.912832260131836,-33.00748825073242,0.0024409375619143248
6,True,False,-0.33576226234436035,14.912832260131836,-33.00748825073242,0.0016659789835102856
7,False,True,-0.33576226234436035,15.461017608642578,-33.15537643432617,0.000950712594203651
7,True,False,-0.36746665835380554,15.461017608642578,-33.15537643432617,0.0006346709924400784
8,False,True,-0.36746665835380554,15.938406944274902,-33.11929702758789,0.00036517693661153316
8,True,False,-0.39703941345214844,15.938406944274902,-33.11929702758789,0.00024409537218161859
9,False,True,-0.39703941345214844,16.316177368164062,-33.024620056152344,0.00014303158968687057
9,True,False,-0.42038825154304504,16.316177368164062,-33.024620056152344,0.00010953240962408017
10,False,True,-0.42038825154304504,16.569515228271484,-32.93702697753906,7.063416705932468e-05
10,True,False,-0.4358160197734833,16.569515228271484,-32.93702697753906,6.300504446699051e-05
11,False,True,-0.4358160197734833,16.743833541870117,-32.8637580871582,4.500268914853223e-05
11,True,False,-0.44638651609420776,16.743833541870117,-32.8637580871582,4.267827171133831e-05
12,False,True,-0.44638651609420776,16.873188018798828,-32.810760498046875,3.290244421805255e-05
12,True,False,-0.454003244638443,16.873188018798828,-32.810760498046875,3.2038252356869634e-05
13,False,True,-0.454003244638443,16.9758358001709,-32.78896713256836,2.6226496629533358e-05
13,True,False,-0.45942991971969604,16.9758358001709,-32.78896713256836,2.5839106456260197e-05
14,False,True,-0.45942991971969604,17.057750701904297,-32.78896713256836,2.2232867195270956e-05
14,True,False,-0.4632677733898163,17.057750701904297,-32.78896713256836,2.2047453436850144e-05
15,False,True,-0.4632677733898163,17.134044647216797,-32.78896713256836,1.9163142496836372e-05
15,True,False,-0.46680140495300293,17.134044647216797,-32.78896713256836,1.9014148847418255e-05
16,False,True,-0.46680140495300293,17.210338592529297,-32.78896713256836,1.648086981731467e-05
16,True,False,-0.4702962338924408,17.210338592529297,-32.78896713256836,1.6391474900956382e-05
17,False,True,-0.4702962338924408,17.26645278930664,-32.78896713256836,1.4782103789912071e-05
17,True,False,-0.4728427231311798,17.26645278930664,-32.78896713256836,1.472250619372062e-05
18,False,True,-0.4728427231311798,17.30459976196289,-32.78896713256836,1.367940058116801e-05
18,True,False,-0.4745624363422394,17.30459976196289,-32.78896713256836,1.3709206541534513e-05
19,False,True,-0.4745624363422394,17.34274673461914,-32.78896713256836,1.272570534638362e-05
19,True,False,-0.4762728810310364,17.34274673461914,-32.78896713256836,1.2725711258099182e-05
20,False,True,-0.4762728810310364,17.38089370727539,-32.78896713256836,1.1801817890955135e-05
20,True,False,-0.4779743552207947,17.38089370727539,-32.78896713256836,1.1801822211054969e-05
