,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,-0.1,-0.1,-0.1,-0.269,2.069,9.878,0.115,61.5,99.3,0.0,0.7,0.0
1,-0.1,-0.1,0.0,-0.269,2.071,9.894,0.115,61.6,99.3,0.0,0.7,0.0
2,-0.1,-0.1,0.1,-0.269,2.068,9.881,0.115,61.6,99.3,0.0,0.7,0.0
3,-0.1,0.0,-0.1,-0.269,2.026,9.651,0.118,61.1,99.3,0.0,0.7,0.0
4,-0.1,0.0,0.0,-0.269,2.043,9.745,0.116,61.2,99.3,0.0,0.7,0.0
5,-0.1,0.0,0.1,-0.269,2.048,9.775,0.116,61.2,99.3,0.0,0.7,0.0
6,-0.1,0.1,-0.1,-0.268,2.008,9.55,0.119,60.9,99.3,0.0,0.7,0.0
7,-0.1,0.1,0.0,-0.269,2.031,9.668,0.117,61.0,99.3,0.0,0.7,0.0
8,-0.1,0.1,0.1,-0.269,2.053,9.787,0.116,61.1,99.3,0.0,0.7,0.0
9,0.0,-0.1,-0.1,-0.269,2.077,9.915,0.114,61.3,99.3,0.0,0.7,0.0
10,0.0,-0.1,0.0,-0.269,2.079,9.923,0.114,61.3,99.3,0.0,0.7,0.0
11,0.0,-0.1,0.1,-0.269,2.078,9.919,0.114,61.3,99.3,0.0,0.7,0.0
12,0.0,0.0,-0.1,-0.269,2.035,9.692,0.117,61.1,99.3,0.0,0.7,0.0
13,0.0,0.0,0.0,-0.269,2.047,9.756,0.116,61.1,99.3,0.0,0.7,0.0
14,0.0,0.0,0.1,-0.269,2.048,9.764,0.116,61.1,99.3,0.0,0.7,0.0
15,0.0,0.1,-0.1,-0.268,2.024,9.632,0.118,61.0,99.3,0.0,0.7,0.0
16,0.0,0.1,0.0,-0.269,2.044,9.736,0.116,61.1,99.3,0.0,0.7,0.0
17,0.0,0.1,0.1,-0.269,2.057,9.803,0.116,61.1,99.3,0.0,0.7,0.0
18,0.1,-0.1,-0.1,0.263,-0.534,0.08,0.689,0.0,0.0,52.6,0.0,47.4
19,0.1,-0.1,0.0,0.263,-0.534,0.08,0.689,0.0,0.0,52.6,0.0,47.4
20,0.1,-0.1,0.1,0.263,-0.534,0.08,0.689,0.0,0.0,52.6,0.0,47.4
21,0.1,0.0,-0.1,0.263,-0.534,0.08,0.689,0.0,0.0,52.6,0.0,47.4
22,0.1,0.0,0.0,-0.269,2.055,9.794,0.116,61.1,99.3,0.0,0.7,0.0
23,0.1,0.0,0.1,-0.269,2.053,9.782,0.116,61.1,99.3,0.0,0.7,0.0
24,0.1,0.1,-0.1,-0.269,2.05,9.767,0.116,61.1,99.3,0.0,0.7,0.0
25,0.1,0.1,0.0,-0.269,2.056,9.801,0.116,61.1,99.3,0.0,0.7,0.0
26,0.1,0.1,0.1,-0.269,2.056,9.798,0.116,61.1,99.3,0.0,0.7,0.0
