,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,-0.1,-0.1,-0.1,-0.277,2.071,9.832,0.107,64.6,99.8,0.0,0.2,0.0
1,-0.1,-0.1,0.0,-0.277,2.073,9.84,0.107,64.6,99.8,0.0,0.2,0.0
2,-0.1,-0.1,0.1,-0.277,2.071,9.835,0.107,64.6,99.8,0.0,0.2,0.0
3,-0.1,0.0,-0.1,-0.276,2.02,9.564,0.111,64.4,99.8,0.0,0.2,0.0
4,-0.1,0.0,0.0,-0.277,2.038,9.668,0.109,64.6,99.8,0.0,0.2,0.0
5,-0.1,0.0,0.1,-0.277,2.044,9.705,0.109,64.7,99.8,0.0,0.2,0.0
6,-0.1,0.1,-0.1,-0.276,1.999,9.439,0.112,63.8,99.8,0.0,0.2,0.0
7,-0.1,0.1,0.0,-0.276,2.02,9.557,0.111,64.2,99.8,0.0,0.2,0.0
8,-0.1,0.1,0.1,-0.277,2.043,9.679,0.109,64.4,99.8,0.0,0.2,0.0
9,0.0,-0.1,-0.1,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
10,0.0,-0.1,0.0,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
11,0.0,-0.1,0.1,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
12,0.0,0.0,-0.1,-0.276,2.028,9.6,0.11,64.3,99.8,0.0,0.2,0.0
13,0.0,0.0,0.0,-0.277,2.041,9.671,0.109,64.4,99.8,0.0,0.2,0.0
14,0.0,0.0,0.1,-0.277,2.043,9.681,0.109,64.5,99.8,0.0,0.2,0.0
15,0.0,0.1,-0.1,-0.276,2.01,9.5,0.111,64.0,99.8,0.0,0.2,0.0
16,0.0,0.1,0.0,-0.276,2.031,9.613,0.11,64.3,99.8,0.0,0.2,0.0
17,0.0,0.1,0.1,-0.277,2.05,9.713,0.109,64.5,99.8,0.0,0.2,0.0
18,0.1,-0.1,-0.1,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
19,0.1,-0.1,0.0,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
20,0.1,-0.1,0.1,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
21,0.1,0.0,-0.1,0.246,-0.52,0.062,0.689,0.0,0.0,51.8,0.0,48.2
22,0.1,0.0,0.0,0.246,-0.52,0.062,0.689,0.0,0.0,51.7,0.0,48.3
23,0.1,0.0,0.1,-0.276,2.044,9.681,0.109,64.4,99.8,0.0,0.2,0.0
24,0.1,0.1,-0.1,-0.276,2.031,9.613,0.11,64.3,99.8,0.0,0.2,0.0
25,0.1,0.1,0.0,-0.276,2.042,9.67,0.109,64.3,99.8,0.0,0.2,0.0
26,0.1,0.1,0.1,-0.276,2.048,9.701,0.109,64.4,99.8,0.0,0.2,0.0
