,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
0,-0.1,-0.1,-0.1,-0.279,3.184,15.309,0.073,65.4,99.6,0.0,0.4,0.0
1,-0.1,-0.1,0.0,-0.279,3.187,15.327,0.073,65.4,99.6,0.0,0.4,0.0
2,-0.1,-0.1,0.1,-0.279,3.185,15.318,0.073,65.4,99.6,0.0,0.4,0.0
3,-0.1,0.0,-0.1,-0.278,3.124,15.006,0.075,65.4,99.6,0.0,0.4,0.0
4,-0.1,0.0,0.0,-0.279,3.145,15.116,0.074,65.4,99.6,0.0,0.4,0.0
5,-0.1,0.0,0.1,-0.279,3.153,15.156,0.074,65.4,99.6,0.0,0.4,0.0
6,-0.1,0.1,-0.1,-0.278,3.099,14.876,0.076,65.3,99.6,0.0,0.4,0.0
7,-0.1,0.1,0.0,-0.278,3.125,15.007,0.075,65.4,99.6,0.0,0.4,0.0
8,-0.1,0.1,0.1,-0.279,3.151,15.141,0.074,65.4,99.6,0.0,0.4,0.0
9,0.0,-0.1,-0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
10,0.0,-0.1,0.0,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
11,0.0,-0.1,0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
12,0.0,0.0,-0.1,-0.278,3.133,15.05,0.075,65.4,99.6,0.0,0.4,0.0
13,0.0,0.0,0.0,-0.279,3.148,15.127,0.074,65.4,99.6,0.0,0.4,0.0
14,0.0,0.0,0.1,-0.279,3.149,15.133,0.074,65.4,99.6,0.0,0.4,0.0
15,0.0,0.1,-0.1,-0.278,3.116,14.963,0.075,65.4,99.6,0.0,0.4,0.0
16,0.0,0.1,0.0,-0.278,3.14,15.083,0.075,65.4,99.6,0.0,0.4,0.0
17,0.0,0.1,0.1,-0.279,3.157,15.171,0.074,65.4,99.6,0.0,0.4,0.0
18,0.1,-0.1,-0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
19,0.1,-0.1,0.0,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
20,0.1,-0.1,0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
21,0.1,0.0,-0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
22,0.1,0.0,0.0,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
23,0.1,0.0,0.1,0.252,-0.766,0.095,0.684,0.0,0.0,54.9,0.0,45.1
24,0.1,0.1,-0.1,-0.279,3.146,15.115,0.074,65.4,99.6,0.0,0.4,0.0
25,0.1,0.1,0.0,-0.279,3.155,15.161,0.074,65.4,99.6,0.0,0.4,0.0
26,0.1,0.1,0.1,-0.279,3.155,15.157,0.074,65.4,99.6,0.0,0.4,0.0
