epochs,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,168,35,138,43
1,200,62,106,16
2,201,78,105,0
3,214,78,92,0
4,185,61,121,17
5,212,78,94,0
6,191,48,115,30
7,189,64,117,14
8,171,52,135,26
9,176,63,130,15
10,199,48,107,30
11,179,61,127,17
12,177,48,129,30
13,184,64,122,14
14,206,49,100,29
15,166,57,140,21
16,201,62,105,16
17,203,54,103,24
18,177,64,129,14
19,187,50,119,28
20,186,53,127,18
21,212,36,125,11
22,210,23,132,19
23,239,38,103,4
24,216,20,126,22
25,216,31,126,11
26,230,26,112,16
27,221,17,121,25
28,212,29,130,13
29,243,25,99,17
30,278,35,64,7
31,259,26,83,16
32,236,21,106,21
33,246,22,96,20
34,259,20,83,22
35,273,24,69,18
36,265,31,77,11
37,258,25,84,17
38,270,27,72,15
39,264,15,78,27
40,267,38,75,4
41,272,24,70,18
42,274,39,68,3
43,256,25,86,17
44,261,24,81,18
45,261,22,81,20
46,227,25,115,17
47,218,20,124,22
48,198,19,147,20
49,229,8,134,13
50,278,9,85,12
51,304,0,75,5
52,311,0,73,0
53,296,0,88,0
54,326,0,58,0
55,311,0,73,0
56,310,0,74,0
57,312,0,72,0
58,300,0,84,0
59,292,0,92,0
60,312,0,72,0
61,318,0,66,0
62,307,0,77,0
63,305,0,79,0
64,285,0,99,0
65,276,0,108,0
66,298,0,86,0
67,284,0,100,0
68,286,0,98,0
69,294,0,90,0
70,303,0,81,0
71,314,0,70,0
72,335,0,49,0
73,336,0,48,0
74,340,0,44,0
75,307,0,77,0
76,320,0,64,0
77,331,0,53,0
78,327,0,57,0
79,324,0,60,0
80,336,0,48,0
81,325,0,59,0
82,302,0,82,0
83,291,0,93,0
84,304,0,80,0
85,299,0,85,0
86,306,0,78,0
87,283,0,101,0
88,295,0,89,0
89,319,0,65,0
90,325,0,59,0
91,330,0,54,0
92,316,0,68,0
93,308,0,76,0
94,310,0,74,0
95,336,0,48,0
96,336,0,48,0
97,331,0,53,0
98,336,0,48,0
99,312,0,72,0
100,304,0,80,0
101,278,0,106,0
102,290,0,94,0
103,292,0,92,0
104,292,0,92,0
105,287,0,97,0
106,290,0,94,0
107,349,0,35,0
108,336,0,48,0
109,344,0,40,0
110,312,0,72,0
111,310,0,74,0
112,343,0,41,0
113,335,0,49,0
114,311,0,73,0
115,330,0,54,0
116,288,0,96,0
117,335,0,49,0
118,332,0,52,0
119,351,0,33,0
120,337,0,47,0
121,327,0,57,0
122,331,0,53,0
123,321,0,63,0
124,340,0,44,0
125,340,0,44,0
126,287,0,97,0
127,306,0,78,0
128,301,0,83,0
129,283,0,101,0
130,308,0,76,0
131,314,0,70,0
132,283,0,101,0
133,288,0,96,0
134,303,0,81,0
135,296,0,88,0
136,314,0,70,0
137,345,0,39,0
138,338,0,46,0
139,372,0,12,0
140,346,0,38,0
141,323,0,61,0
142,321,0,63,0
143,320,0,64,0
144,320,0,64,0
145,341,0,43,0
146,384,0,0,0
147,338,0,46,0
148,371,0,13,0
149,362,0,22,0
150,338,0,46,0
151,321,0,63,0
152,291,0,93,0
153,330,0,54,0
154,314,0,70,0
155,339,0,45,0
156,353,0,31,0
157,315,0,69,0
158,279,0,105,0
159,299,0,85,0
160,301,0,83,0
161,298,0,86,0
162,311,0,73,0
163,309,0,75,0
164,338,0,46,0
165,384,0,0,0
166,371,0,13,0
167,343,0,41,0
168,367,0,17,0
169,324,0,60,0
170,311,0,73,0
171,325,0,59,0
172,334,0,50,0
173,328,0,56,0
174,365,0,19,0
175,353,0,31,0
176,340,0,44,0
177,339,0,45,0
178,346,0,38,0
179,357,0,27,0
180,372,0,12,0
181,365,0,19,0
182,378,0,6,0
183,384,0,0,0
184,378,0,6,0
185,374,0,10,0
186,374,0,10,0
187,363,0,21,0
188,370,0,14,0
189,358,0,26,0
190,341,0,43,0
191,370,0,14,0
192,346,0,38,0
193,323,0,61,0
194,311,0,73,0
195,317,0,67,0
196,303,0,81,0
197,315,0,69,0
198,287,0,97,0
199,308,0,76,0
