epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,927,29073,411,9726,1586,18277,164937
1,25175,4825,4137,8562,2937,14364,65775
2,13838,16162,11118,7854,3259,7769,134852
3,17231,12769,16393,6612,2484,4511,121248
4,19573,10427,19510,5618,1754,3118,112147
5,21524,8476,21416,5143,1281,2160,97727
6,21965,8035,22676,4741,989,1594,95192
7,23156,6844,23508,4541,786,1165,85091
8,23403,6597,24086,4427,558,929,84962
9,23395,6605,24561,4284,450,705,86532
10,23591,6409,24908,4143,351,598,86317
11,24130,5870,25051,4086,337,526,78444
12,24177,5823,25093,4118,280,509,75725
13,24651,5349,25452,3959,216,373,74764
14,24428,5572,25612,3856,213,319,76525
15,24235,5765,25479,4045,191,285,74242
