epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,456,29544,2334,7797,3157,16712,265373
1,19146,10854,1769,8355,3132,16744,138292
2,17886,12114,2076,8045,3923,15956,136416
3,18433,11567,2600,7751,3548,16101,137477
4,17012,12988,3661,8335,3481,14523,179444
5,7832,22168,4993,8285,3561,13161,228353
6,3794,26206,7833,7911,3647,10609,258730
7,9602,20398,11968,7020,3416,7596,248025
8,14586,15414,14972,6573,2749,5706,217882
9,17288,12712,17746,5903,2244,4107,204126
10,19748,10252,19921,5314,1802,2963,186539
11,21001,8999,21226,4977,1448,2349,172708
12,22113,7887,22374,4722,1206,1698,166289
13,22576,7424,23206,4489,946,1359,160566
14,23421,6579,23833,4376,730,1061,151155
15,23908,6092,24206,4227,603,964,142639
16,24370,5630,24634,4177,478,711,138943
17,24462,5538,25008,4004,383,605,139966
18,24646,5354,25266,3876,334,524,138834
19,24520,5480,25501,3837,251,411,140978
20,24424,5576,25492,3909,225,374,141254
21,24604,5396,25708,3785,195,312,137827
22,24321,5679,25790,3736,196,278,141822
