epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,934,29066,400,9717,1606,18277,165004
1,21031,8969,3544,8301,2947,15208,84800
2,16208,13792,6576,8161,3096,12167,109497
3,14640,15360,10161,7579,3205,9055,141897
4,15780,14220,13524,6906,3065,6505,140833
5,17069,12931,15799,6612,2764,4825,141362
6,18090,11910,17258,6375,2438,3929,135145
7,19202,10798,18664,6175,2044,3117,118575
8,19425,10575,19490,6121,1783,2606,119198
9,19733,10267,20278,6109,1472,2141,117127
10,20354,9646,20878,5927,1359,1836,109248
11,20361,9639,21398,5895,1137,1570,112757
12,20650,9350,21785,5953,932,1330,109165
13,20927,9073,21883,5903,930,1284,105704
14,20886,9114,22239,5967,747,1047,103699
15,21270,8730,22660,5827,620,893,101425
16,21230,8770,22726,5889,554,831,100081
17,21141,8859,22691,5971,553,785,97630
18,21294,8706,22875,5893,511,721,95951
19,21252,8748,23191,5798,417,594,100451
20,21431,8569,23211,5798,415,576,97778
21,21224,8776,23259,5812,371,558,99022
22,21459,8541,23515,5704,310,471,95938
23,21703,8297,23695,5605,273,427,95146
24,21676,8324,23644,5627,288,441,93138
25,21616,8384,23632,5696,261,411,92041
26,21720,8280,23671,5694,244,391,92396
27,21709,8291,23525,5780,264,431,92231
28,21613,8387,23568,5710,291,431,94675
29,21579,8421,23664,5767,233,336,93499
30,21354,8646,23916,5586,167,331,96055
31,22002,7998,23885,5656,156,303,90346
