epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,446,29554,2326,7785,3144,16745,265410
1,5323,24677,5711,8066,3525,12698,256683
2,9705,20295,11449,7182,3258,8111,256062
3,14136,15864,14671,6465,2931,5933,236237
4,16367,13633,16876,6185,2490,4449,216227
5,17584,12416,18389,5896,2112,3603,203763
6,18911,11089,19495,5825,1809,2871,188320
7,20129,9871,20392,5670,1576,2362,173531
8,20801,9199,21128,5575,1285,2012,166728
9,21191,8809,21793,5476,1120,1611,161665
10,21883,8117,22281,5289,985,1445,153446
11,21958,8042,22631,5218,797,1354,154604
12,22371,7629,23005,5144,694,1157,150436
13,22478,7522,23290,5041,671,998,147831
14,22781,7219,23587,5018,524,871,143762
15,22880,7120,23521,4972,549,958,141880
16,22853,7147,23747,4986,476,791,141565
17,23322,6678,24124,4744,371,761,136789
18,23180,6820,24228,4764,357,651,142138
19,23354,6646,24326,4760,291,623,140026
20,23246,6754,24530,4675,263,532,139902
21,23374,6626,24524,4620,281,575,135477
22,23616,6384,24636,4619,220,525,135505
23,23358,6642,24566,4686,239,509,132670
24,23609,6391,24596,4653,230,521,134588
25,23548,6452,24854,4563,167,416,133841
26,23540,6460,24877,4542,177,404,132267
27,23388,6612,24784,4580,202,434,133795
28,23301,6699,24806,4579,203,412,138822
29,23470,6530,25043,4462,156,339,136264
30,24004,5996,24899,4523,166,412,129143
31,23584,6416,24915,4518,182,385,135214
32,23664,6336,25218,4354,120,308,136821
