epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,0,30000,412,9728,1585,18275,269998
1,4014,25986,3815,8634,3412,14139,244437
2,7817,22183,10815,7241,3499,8445,244390
3,16017,13983,17047,6032,2507,4414,200048
4,19590,10410,20172,5069,1875,2884,172323
5,21551,8449,21681,4845,1380,2094,151798
6,22266,7734,22860,4442,1119,1579,145133
7,23185,6815,23751,4259,814,1176,140130
8,23331,6669,24412,3925,674,989,141644
9,23067,6933,24799,3924,526,751,142738
10,23737,6263,25204,3818,405,573,137316
11,24133,5867,25308,3788,350,554,129945
12,23923,6077,25481,3738,315,466,134064
13,23565,6435,25444,3815,315,426,137092
14,24496,5504,25847,3607,216,330,127279
15,24283,5717,26044,3459,188,309,132206
