epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,927,29073,411,9726,1586,18277,164937
1,29618,382,1190,8821,2292,17697,35574
2,29980,20,1461,8638,2855,17046,33060
3,29998,2,1302,8775,2245,17678,31259
4,29999,1,788,9190,2006,18016,30736
5,29997,3,950,9148,2178,17724,30864
6,29996,4,1374,8574,2662,17390,31104
7,29998,2,1403,8891,2110,17596,30854
8,30000,0,1590,8762,2183,17465,30622
9,29997,3,1695,8620,2279,17406,31144
10,29990,10,1764,8905,2179,17152,31679
11,29996,4,890,9367,1773,17970,31809
12,29993,7,901,9341,1430,18328,32020
13,29988,12,789,9369,1267,18575,31631
14,29990,10,825,9276,1360,18539,31864
15,29990,10,852,9262,1392,18494,32298
16,29988,12,986,9209,1543,18262,32216
17,29987,13,787,9380,1602,18231,31922
18,29962,38,968,9275,1490,18267,34169
19,29946,54,918,9277,1363,18442,34320
20,29971,29,997,9394,1103,18506,33478
21,29952,48,1117,9498,1076,18309,34491
22,29995,5,1295,9053,1842,17810,31228
23,30000,0,1369,8877,2150,17604,30459
24,30000,0,1475,8854,1894,17777,30305
25,30000,0,1764,8504,2476,17256,30071
26,30000,0,1704,8608,2201,17487,30046
27,30000,0,1144,8886,2178,17792,30061
28,30000,0,1097,9044,2186,17673,30046
29,30000,0,1303,8836,2063,17798,30054
30,30000,0,1166,9025,2093,17716,30060
31,30000,0,1178,8908,2235,17679,30041
32,30000,0,1171,8925,2039,17865,30062
33,30000,0,1104,8954,1981,17961,30061
34,30000,0,1251,8774,1921,18054,30066
35,30000,0,1313,8907,1888,17892,30055
36,30000,0,1330,8975,2036,17659,30034
37,30000,0,1406,8977,2018,17599,30031
38,30000,0,1458,8746,2031,17765,30033
39,30000,0,1363,8878,2053,17706,30035
40,30000,0,1539,8781,1862,17818,30047
41,30000,0,1506,8686,1814,17994,30063
42,30000,0,1584,8875,1861,17680,30067
43,30000,0,1413,8759,1857,17971,30126
44,29999,1,905,9177,2049,17869,30423
45,30000,0,1111,8941,2154,17794,30150
46,30000,0,1025,8996,2125,17854,30160
47,30000,0,1033,8975,2062,17930,30144
48,30000,0,1170,8845,1924,18061,30150
49,30000,0,1105,8881,2115,17899,30095
50,29999,1,1202,8812,2141,17845,30058
