epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,456,29544,2334,7797,3157,16712,265373
1,12713,17287,4643,8032,3763,13562,209430
2,12023,17977,10991,7099,3478,8432,230605
3,16779,13221,15773,6791,2504,4932,197315
4,20123,9877,19049,5665,2026,3260,181087
5,21684,8316,21187,5010,1491,2312,170050
6,23080,6920,22431,4640,1188,1741,151569
7,23681,6319,23214,4514,970,1302,147131
8,24222,5778,23851,4445,743,961,141208
9,24933,5067,24553,4120,571,756,128558
10,25343,4657,25002,3895,472,631,124342
11,24988,5012,25166,3916,382,536,132428
12,25401,4599,25454,3755,327,464,123019
13,25293,4707,25556,3723,298,423,127455
14,25573,4427,25893,3511,233,363,124503
15,25353,4647,25944,3497,227,332,127067
16,25156,4844,25854,3614,215,317,128887
17,25445,4555,25950,3635,171,244,122440
