epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,934,29066,400,9717,1606,18277,165004
1,23841,6159,3915,8232,2634,15219,77971
2,21174,8826,7782,7619,2949,11650,89038
3,20389,9611,11713,6818,2891,8578,91918
4,21508,8492,14651,6228,2795,6326,85588
5,21803,8197,16712,5886,2467,4935,83549
6,22617,7383,18434,5682,2061,3823,78991
7,23020,6980,19525,5416,1779,3280,75590
8,24157,5843,20429,5263,1507,2801,69666
9,24413,5587,21418,5082,1283,2217,67549
10,24700,5300,22142,4850,1083,1925,66449
11,25017,4983,22536,4852,932,1680,64919
12,25388,4612,22958,4672,794,1576,62250
13,25701,4299,23268,4711,672,1349,60323
14,25255,4745,23662,4562,598,1178,61944
15,25748,4252,24134,4293,511,1062,59486
16,25817,4183,24384,4259,443,914,59032
17,25958,4042,24467,4189,428,916,58492
18,26029,3971,24461,4300,377,862,58209
19,26155,3845,24664,4208,335,793,57685
20,26315,3685,24575,4255,349,821,56713
21,26410,3590,24670,4239,344,747,55159
22,26188,3812,24773,4240,287,700,56239
23,26296,3704,25098,4041,248,613,56510
24,26767,3233,25154,4088,199,559,53968
25,26569,3431,25174,4058,193,575,55841
26,26520,3480,25344,4002,181,473,55468
27,26493,3507,25195,4107,188,510,54631
28,26507,3493,25232,4081,178,509,54750
29,26404,3596,25360,3973,187,480,55752
30,26247,3753,25320,4061,174,445,56626
31,26445,3555,25437,3962,162,439,56119
32,26234,3766,25466,4002,154,378,56530
33,26787,3213,25708,3806,118,368,53554
34,26911,3089,25602,3886,130,382,53739
35,26289,3711,25624,3903,130,343,57279
