epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,446,29554,2326,7785,3144,16745,265410
1,7615,22385,2611,8463,2729,16197,242782
2,19099,10901,4762,8242,3158,13838,194217
3,11499,18501,6804,8091,3275,11830,243963
4,10253,19747,9399,7578,3266,9757,245914
5,12303,17697,12170,6855,3238,7737,245402
6,13849,16151,14698,6324,2917,6061,239035
7,16237,13763,16500,5882,2703,4915,216910
8,17664,12336,17794,5514,2410,4282,204175
9,18971,11029,18946,5219,2263,3572,192246
10,20303,9697,20047,4940,2005,3008,175054
11,20889,9111,20345,4907,1817,2931,170327
12,21606,8394,21108,4752,1673,2467,161342
13,22154,7846,21773,4702,1454,2071,155473
14,22625,7375,22136,4543,1358,1963,149820
15,23028,6972,22757,4456,1157,1630,142662
16,23405,6595,23043,4431,1000,1526,137165
17,23720,6280,23329,4337,981,1353,133186
18,23927,6073,23714,4291,791,1204,132505
19,23917,6083,23959,4283,700,1058,128432
20,24629,5371,24166,4114,694,1026,120420
21,24692,5308,24445,4095,589,871,122436
22,24646,5354,24583,4056,544,817,121563
23,24703,5297,24755,4006,481,758,119592
24,24606,5394,24867,4011,442,680,124410
25,24895,5105,24944,4024,380,652,117513
26,25090,4910,25002,3978,366,654,114394
27,25120,4880,24989,4038,361,612,116037
28,24888,5112,25117,3985,318,580,118405
29,25211,4789,25421,3819,285,475,112855
30,25245,4755,25276,3891,299,534,112657
31,25054,4946,25504,3796,236,464,119466
32,25282,4718,25596,3802,208,394,112214
33,25464,4536,25612,3812,192,384,112140
34,25323,4677,25567,3824,207,402,112165
35,25468,4532,25632,3740,255,373,110637
36,25019,4981,25447,3840,298,415,114261
37,25433,4567,25794,3715,179,312,112252
38,25338,4662,25701,3813,160,326,108865
39,25616,4384,25592,3843,192,373,110789
40,25246,4754,25694,3862,172,272,113716
